Date,Close
1/2/2019 16:00:00,135.68
1/3/2019 16:00:00,131.74
1/4/2019 16:00:00,137.95
1/7/2019 16:00:00,138.05
1/8/2019 16:00:00,142.53
1/9/2019 16:00:00,144.23
1/10/2019 16:00:00,144.2
1/11/2019 16:00:00,143.8
1/14/2019 16:00:00,145.39
1/15/2019 16:00:00,148.95
1/16/2019 16:00:00,147.54
1/17/2019 16:00:00,148.3
1/18/2019 16:00:00,150.04
1/22/2019 16:00:00,147.57
1/23/2019 16:00:00,144.3
1/24/2019 16:00:00,145.83
1/25/2019 16:00:00,149.01
1/28/2019 16:00:00,147.47
1/29/2019 16:00:00,144.19
1/30/2019 16:00:00,150.42
1/31/2019 16:00:00,166.69
2/1/2019 16:00:00,165.71
2/4/2019 16:00:00,169.25
2/5/2019 16:00:00,171.16
2/6/2019 16:00:00,170.49
2/7/2019 16:00:00,166.38
2/8/2019 16:00:00,167.33
2/11/2019 16:00:00,165.79
2/12/2019 16:00:00,165.04
2/13/2019 16:00:00,164.07
2/14/2019 16:00:00,163.95
2/15/2019 16:00:00,162.5
2/19/2019 16:00:00,162.29
2/20/2019 16:00:00,162.56
2/21/2019 16:00:00,160.04
2/22/2019 16:00:00,161.89
2/25/2019 16:00:00,164.62
2/26/2019 16:00:00,164.13
2/27/2019 16:00:00,162.81
2/28/2019 16:00:00,161.45
3/1/2019 16:00:00,162.28
3/4/2019 16:00:00,167.37
3/5/2019 16:00:00,171.26
3/6/2019 16:00:00,172.51
3/7/2019 16:00:00,169.13
3/8/2019 16:00:00,169.6
3/11/2019 16:00:00,172.07
3/12/2019 16:00:00,171.92
3/13/2019 16:00:00,173.37
3/14/2019 16:00:00,170.17
3/15/2019 16:00:00,165.98
3/18/2019 16:00:00,160.47
3/19/2019 16:00:00,161.57
3/20/2019 16:00:00,165.44
3/21/2019 16:00:00,166.08
3/22/2019 16:00:00,164.34
3/25/2019 16:00:00,166.29
3/26/2019 16:00:00,167.68
3/27/2019 16:00:00,165.87
3/28/2019 16:00:00,165.55
3/29/2019 16:00:00,166.69
4/1/2019 16:00:00,168.7
4/2/2019 16:00:00,174.2
4/3/2019 16:00:00,173.54
4/4/2019 16:00:00,176.02
4/5/2019 16:00:00,175.72
4/8/2019 16:00:00,174.93
4/9/2019 16:00:00,177.58
4/10/2019 16:00:00,177.82
4/11/2019 16:00:00,177.51
4/12/2019 16:00:00,179.1
4/15/2019 16:00:00,179.65
4/16/2019 16:00:00,178.87
4/17/2019 16:00:00,178.78
4/18/2019 16:00:00,178.28
4/22/2019 16:00:00,181.44
4/23/2019 16:00:00,183.78
4/24/2019 16:00:00,182.58
4/25/2019 16:00:00,193.26
4/26/2019 16:00:00,191.49
4/29/2019 16:00:00,194.78
4/30/2019 16:00:00,193.4
5/1/2019 16:00:00,193.03
5/2/2019 16:00:00,192.53
5/3/2019 16:00:00,195.47
5/6/2019 16:00:00,193.88
5/7/2019 16:00:00,189.77
5/8/2019 16:00:00,189.54
5/9/2019 16:00:00,188.65
5/10/2019 16:00:00,188.34
5/13/2019 16:00:00,181.54
5/14/2019 16:00:00,180.73
5/15/2019 16:00:00,186.27
5/16/2019 16:00:00,186.99
5/17/2019 16:00:00,185.3
5/20/2019 16:00:00,182.72
5/21/2019 16:00:00,184.82
5/22/2019 16:00:00,185.32
5/23/2019 16:00:00,180.87
5/24/2019 16:00:00,181.06
5/28/2019 16:00:00,184.31
5/29/2019 16:00:00,182.19
5/30/2019 16:00:00,183.01
5/31/2019 16:00:00,177.47
6/3/2019 16:00:00,164.15
6/4/2019 16:00:00,167.5
6/5/2019 16:00:00,168.17
6/6/2019 16:00:00,168.33
6/7/2019 16:00:00,173.35
6/10/2019 16:00:00,174.82
6/11/2019 16:00:00,178.1
6/12/2019 16:00:00,175.04
6/13/2019 16:00:00,177.47
6/14/2019 16:00:00,181.33
6/17/2019 16:00:00,189.01
6/18/2019 16:00:00,188.47
6/19/2019 16:00:00,187.48
6/20/2019 16:00:00,189.53
6/21/2019 16:00:00,191.14
6/24/2019 16:00:00,192.6
6/25/2019 16:00:00,188.84
6/26/2019 16:00:00,187.66
6/27/2019 16:00:00,189.5
6/28/2019 16:00:00,193
7/1/2019 16:00:00,193
7/2/2019 16:00:00,195
7/3/2019 13:00:00,197.2
7/5/2019 16:00:00,196.4
7/8/2019 16:00:00,195.76
7/9/2019 16:00:00,199.21
7/10/2019 16:00:00,202.73
7/11/2019 16:00:00,201.23
7/12/2019 16:00:00,204.87
7/15/2019 16:00:00,203.91
7/16/2019 16:00:00,203.84
7/17/2019 16:00:00,201.8
7/18/2019 16:00:00,200.78
7/19/2019 16:00:00,198.36
7/22/2019 16:00:00,202.32
7/23/2019 16:00:00,202.36
7/24/2019 16:00:00,204.66
7/25/2019 16:00:00,200.71
7/26/2019 16:00:00,199.75
7/29/2019 16:00:00,195.94
7/30/2019 16:00:00,197.04
7/31/2019 16:00:00,194.23
8/1/2019 16:00:00,192.73
8/2/2019 16:00:00,189.02
8/5/2019 16:00:00,181.73
8/6/2019 16:00:00,184.51
8/7/2019 16:00:00,185.15
8/8/2019 16:00:00,190.16
8/9/2019 16:00:00,187.85
8/12/2019 16:00:00,185.37
8/13/2019 16:00:00,188.45
8/14/2019 16:00:00,179.71
8/15/2019 16:00:00,182.59
8/16/2019 16:00:00,183.7
8/19/2019 16:00:00,186.17
8/20/2019 16:00:00,183.81
8/21/2019 16:00:00,183.55
8/22/2019 16:00:00,182.04
8/23/2019 16:00:00,177.75
8/26/2019 16:00:00,180.36
8/27/2019 16:00:00,181.3
8/28/2019 16:00:00,181.76
8/29/2019 16:00:00,185.57
8/30/2019 16:00:00,185.67
9/3/2019 16:00:00,182.39
9/4/2019 16:00:00,187.14
9/5/2019 16:00:00,190.9
9/6/2019 16:00:00,187.49
9/9/2019 16:00:00,188.76
9/10/2019 16:00:00,186.17
9/11/2019 16:00:00,188.49
9/12/2019 16:00:00,187.47
9/13/2019 16:00:00,187.19
9/16/2019 16:00:00,186.22
9/17/2019 16:00:00,188.08
9/18/2019 16:00:00,188.14
9/19/2019 16:00:00,190.14
9/20/2019 16:00:00,189.93
9/23/2019 16:00:00,186.82
9/24/2019 16:00:00,181.28
9/25/2019 16:00:00,182.8
9/26/2019 16:00:00,180.11
9/27/2019 16:00:00,177.1
9/30/2019 16:00:00,178.08
10/1/2019 16:00:00,175.81
10/2/2019 16:00:00,174.6
10/3/2019 16:00:00,179.38
10/4/2019 16:00:00,180.45
10/7/2019 16:00:00,179.68
10/8/2019 16:00:00,177.75
10/9/2019 16:00:00,179.85
10/10/2019 16:00:00,180.03
10/11/2019 16:00:00,184.19
10/14/2019 16:00:00,183.28
10/15/2019 16:00:00,188.89
